Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Eswatini,Africa,72781,6273.337,164,14.136,0,1410,121.535,0,0,0
Guyana,Americas,65560,8335.113,591,75.138,138,1239,157.523,2,0.254,1
Fiji,Western Pacific,65103,7262.353,41,4.574,0,864,96.381,0,0,0
Madagascar,Africa,64478,232.848,101,0.365,0,1396,5.041,1,0.004,0
New Caledonia,Western Pacific,62623,21934.655,294,102.978,0,313,109.633,0,0,0
Sudan,Eastern Mediterranean,62444,142.406,50,0.114,0,4950,11.289,8,0.018,0
Belize,Americas,60493,15213.466,956,240.426,206,678,170.511,0,0,0
Bhutan,South-East Asia,59636,7728.795,8,1.037,0,21,2.722,0,0,0
Mauritania,Africa,59220,1273.642,52,1.118,0,982,21.12,0,0,0
Cabo Verde,Africa,56828,10221.102,353,63.491,0,402,72.304,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55901,319.422,6,0.034,0,3150,17.999,0,0,0
Jersey,Europe,51132,47434.042,357,331.181,53,129,119.67,0,0,0
Gabon,Africa,47711,2143.607,34,1.528,0,304,13.658,0,0,0
Papua New Guinea,Western Pacific,44655,499.105,21,0.235,11,658,7.354,7,0.078,1
Seychelles,Africa,44363,45108.646,218,221.664,31,167,169.807,0,0,0
Curaçao,Americas,44127,26891.458,174,106.037,0,277,168.807,0,0,0
Andorra,Europe,43224,55942.535,157,203.197,0,153,198.02,0,0,0
Burundi,Africa,42248,355.3,119,1.001,0,15,0.126,0,0,0
Guam,Western Pacific,41550,24618.575,209,123.834,0,367,217.449,3,1.778,1
Aruba,Americas,38301,35873.78,949,888.86,0,216,202.312,3,2.81,0
Mayotte,Africa,37751,13837.582,94,34.456,0,187,68.545,0,0,0
Togo,Africa,37166,448.934,56,0.676,12,273,3.298,0,0,0
Guinea,Africa,36817,280.344,0,0,0,442,3.366,0,0,0
Bahamas,Americas,35099,8925.502,168,42.722,0,811,206.233,1,0.254,0
United Republic of Tanzania,Africa,34988,58.573,1060,1.775,0,840,1.406,37,0.062,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,33746,1575.26,139,6.489,0,699,32.629,0,0,0
Isle of Man,Europe,33251,39104.102,153,179.932,0,107,125.835,0,0,0
Mali,Africa,31120,153.673,17,0.084,2,735,3.629,0,0,0
Haiti,Americas,30963,271.545,23,0.202,0,835,7.323,0,0,0
Benin,Africa,26914,222.004,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26565,167.147,0,0,0,1361,8.563,0,0,0
Saint Lucia,Americas,26316,14331.226,439,239.072,66,371,202.04,0,0,0
Cayman Islands,Americas,25886,39388.314,0,0,0,28,42.605,0,0,0
Guernsey,Europe,25874,40134.64,171,265.248,0,47,72.904,0,0,0
Congo,Africa,24128,437.253,0,0,0,385,6.977,0,0,0
Timor-Leste,South-East Asia,22931,1739.246,10,0.758,0,131,9.936,0,0,0
Solomon Islands,Western Pacific,21237,3091.788,0,0,0,149,21.692,0,0,0
Burkina Faso,Africa,20899,99.98,0,0,0,384,1.837,0,0,0
United States Virgin Islands,Americas,20378,19514.484,339,324.635,120,115,110.127,2,1.915,1
Gibraltar,Europe,18806,55819.061,215,638.153,215,101,299.783,0,0,0
Grenada,Americas,18035,16027.834,202,179.519,87,231,205.291,3,2.666,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17644,157.624,18,0.161,3,138,1.233,0,0,0
Liechtenstein,Europe,17536,45257.697,34,87.749,0,83,214.21,0,0,0
San Marino,Europe,17124,50456.715,0,0,0,115,338.853,0,0,0
Equatorial Guinea,Africa,15933,1135.65,9,0.641,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15686,1587.652,0,0,0,189,19.13,0,0,0
Bermuda,Americas,15428,24774.782,343,550.801,343,138,221.605,0,0,0
Dominica,Americas,14638,20333.097,343,476.448,343,67,93.067,0,0,0
Nicaragua,Americas,14577,220.045,39,0.589,0,240,3.623,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Samoa,Western Pacific,13924,7017.65,425,214.199,0,27,13.608,1,0.504,0
Monaco,Europe,12420,31648.15,162,412.802,33,57,145.245,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Tonga,Western Pacific,11909,11267.326,167,158.002,0,12,11.353,0,0,0
Yemen,Eastern Mediterranean,11822,39.637,0,0,0,2149,7.205,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11403,19811.665,37,64.284,0,34,59.072,0,0,0
Saint Martin,Americas,10726,27745.156,38,98.295,0,44,113.816,0,0,0
Sint Maarten,Americas,10434,24331.888,81,188.89,0,86,200.55,0,0,0
Vanuatu,Western Pacific,10390,3382.767,945,307.672,0,14,4.558,0,0,0
Eritrea,Africa,9768,275.433,2,0.056,0,103,2.904,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8883,8007.031,121,109.068,76,108,97.35,0,0,0
Bonaire,Americas,8650,41357.877,56,267.75,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8406,8583.77,111,113.347,28,139,141.94,1,1.021,1
Guinea-Bissau,Africa,8305,422.002,22,1.118,0,171,8.689,0,0,0
Comoros,Africa,8131,935.027,5,0.575,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7459,147.479,2,0.04,0,294,5.813,0,0,0
Chad,Africa,7418,45.16,1,0.006,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,0,0,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,0,0,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6160,15909.913,12,30.993,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5824,10949.015,67,125.959,3,43,80.839,0,0,0
Cook Islands,Western Pacific,5712,32521.066,20,113.869,0,1,5.693,0,0,0
Palau,Western Pacific,5126,28332.965,61,337.166,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4614,46676.783,20,202.327,0,4,40.465,0,0,0
Anguilla,Americas,3342,22277.03,48,319.957,0,9,59.992,0,0,0
Kiribati,Western Pacific,3183,2664.736,85,71.16,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2765,47713.546,3,51.769,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1733,49755.958,23,660.35,16,0,0,0,0,0
Montserrat,Americas,1010,20204.041,30,600.12,7,8,160.032,2,40.008,0
Sint Eustatius,Americas,937,29850.271,13,414.145,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,607,31401.966,2,103.466,0,1,51.733,1,51.733,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,34,29.559,4,3.478,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
